province;red;green;blue;name;x
346;249;23;255;Shademarsh;x
347;248;23;255;Ald'Ruhn;x
348;247;23;255;Suran;x
349;246;23;255;Maar Gan;x
350;244;23;255;Tiguna;x
351;0;9;213;Pyrrahn;x
352;10;9;213;Arcantys;x
353;20;9;213;Bondar;x
354;30;9;213;Vallas;x
355;40;9;213;Kituna;x
356;50;9;213;Baga;x
357;60;9;213;Wega;x
358;70;9;213;Akuna;x
359;80;9;213;Abbarbas;x
360;90;9;213;Gaddu;x
361;100;9;213;Pontu;x
362;110;9;213;Etho Sul;x
363;120;9;213;Mantu;x
364;130;9;213;Banta;x
365;140;9;213;Secula;x
366;150;9;213;Acacyn;x
367;160;9;213;Cappado;x
368;170;9;213;Epiru;x
369;180;9;213;Omnia;x
370;190;9;213;Cato Ydur;x
371;200;9;213;Cormaris;x
372;210;9;213;Belemis;x
373;220;9;213;Varanis;x
374;230;9;213;Velothis;x
375;240;9;213;Thir;x
376;250;9;213;Ouada;x
377;255;9;213;Valus;x
378;213;9;250;Heimlyn;x
379;213;9;240;Deshaan;x
380;213;9;230;Silnion;x
381;213;9;220;Larsus;x
382;213;9;210;Kithendis;x
383;213;9;200;Severa;x
384;213;9;190;Omavel;x
385;213;9;180;Padomai;x
386;213;9;170;Old Keep;x
387;213;9;160;Serothan;x
388;213;9;150;Uveran;x
389;213;9;140;Muthada;x
390;213;9;130;Narrusa;x
391;213;9;120;Adurin;x
392;213;9;110;Mothriva;x
393;213;9;100;Ranyon-Ruhn;x
394;213;9;90;Oren;x
395;213;9;80;Uradas;x
396;213;9;70;Gar Sadrith;x
397;213;9;60;Sadas;x
398;213;9;50;Thenim;x
399;213;9;40;Lolthanis;x
400;213;9;30;Helnim;x
401;213;9;20;Sarvanni;x
402;213;9;10;Halaran;x
403;176;11;0;Quin'Rawl;x
404;176;11;10;Southsea;x
405;176;11;20;Eshita;x
406;176;11;30;Tenmar;x
407;176;11;40;Isthme;x
408;176;11;50;Potidae;x
409;176;11;60;Durres;x
410;176;11;70;Khajay;x
411;176;11;80;Ohmes;x
412;176;11;90;Cathay;x
413;176;11;100;Ne Quin-Al;x
414;176;11;110;The Badlands;x
415;176;11;120;Keirgo;x
416;176;11;130;Saimsil;x
417;176;11;140;Periandor;x
418;176;11;150;Sagos;x
419;176;11;160;Argolis;x
420;176;11;170;Dargan;x
421;176;11;180;Merick;x
422;176;11;190;Ikerran;x
423;176;11;200;Cronan;x
424;176;11;210;Ynisfall;x
425;176;11;220;Graymont;x
426;176;11;230;Shady Sands;x
427;176;11;240;Dragongrove;x
428;176;11;250;Sunkeep;x
429;176;11;255;Abidon;x
430;56;0;49;Rex;x
431;56;10;49;Lainebon;x
432;56;20;49;Hnas;x
433;56;30;49;Oran;x
434;56;40;49;Tigonus;x
435;56;50;49;Vulnim;x
436;56;60;49;Brena;x
437;56;70;49;Jandal;x
438;56;80;49;Saif;x
439;56;90;49;Hafar;x
440;56;100;49;Ahvaz;x
441;56;110;49;Djenne;x
442;56;120;49;Khael;x
443;56;130;49;Dragongate;x
444;56;140;49;Quey;x
445;56;150;49;Dragonwall;x
446;56;160;49;Lankhmar;x
447;56;170;49;Masad;x
448;56;180;49;Lankara;x
449;56;190;49;Santaki;x
450;56;200;49;Mournoth;x
451;56;210;49;Dragontail;x
452;56;220;49;Saray;x
453;56;230;49;Zahedann;x
454;56;240;49;Namien;x
455;56;250;49;Kamery;x
456;56;255;49;Garret;x
457;57;140;50;Abdir;x
458;94;73;0;Shalgora;x
459;94;73;10;Betony;x
460;94;73;20;Thorkan;x
461;94;73;30;Alcaire;x
462;94;73;40;Menevia;x
463;94;73;50;Bjoulsae;x
464;94;73;60;Northmoor;x
465;94;73;70;Penmarch;x
466;94;73;80;Ykalon;x
467;94;73;90;Orvault;x
468;94;73;100;Blain;x
469;94;73;110;Lorient;x
470;94;73;120;Wrothgarian;x
471;94;73;130;Old Gate;x
472;94;73;140;Dorven;x
473;94;73;150;Shieldwall;x
474;94;73;160;Castlejoy;x
475;94;73;170;Kathgran;x
476;94;73;180;Royan;x
477;94;73;190;Lesperon;x
478;94;73;200;Southisle;x
479;94;73;210;Alara;x
480;94;73;220;Llanowar;x
481;94;73;230;Arnor;x
482;94;73;240;Thornwall;x
483;94;73;250;Blackpark;x
484;94;73;255;Greenhall;x
485;76;81;0;Daresen;x
486;76;81;10;Valental;x
487;76;81;20;Wirewood;x
488;76;81;30;Timberwatch;x
489;76;81;40;Balsquare;x
490;76;81;50;Briarpatch;x
491;76;81;60;Moonglade;x
492;76;81;70;Quirion;x
493;76;81;80;Weatherseed;x
494;76;81;90;Thormar;x
495;76;81;100;Darkwatch;x
496;76;81;110;Willowind;x
497;76;81;120;Cormount;x
498;76;81;130;Vinewall;x
499;76;81;140;Eastwood;x
500;76;81;150;Nettleshin;x
501;76;81;160;Bramblewood;x
502;76;81;170;Vengevine;x
503;76;81;180;Gilverdale;x
504;76;81;190;Snapvine;x
505;18;0;52;Marbrook;x
506;18;10;52;Whiteguard;x
507;18;20;52;Graddun;x
508;18;30;52;King's Haven;x
509;18;40;52;Ebon Glen;x
510;18;50;52;Ironbark;x
511;18;60;52;Old Falls;x
512;18;70;52;Dragonpond;x
513;18;80;52;Mergrove;x
514;18;90;52;Deerhollow;x
515;18;100;52;Eldara;x
516;18;110;52;Sonnen;x
517;18;120;52;Vesilon;x
518;18;130;52;Kovelir;x
519;18;140;52;Galandra;x
520;18;150;52;Cliffwatch;x
521;18;160;52;Seamist;x
522;18;170;52;Northspring;x
523;18;180;52;Shatterwood;x
524;18;190;52;Archen Grangrove;x
525;0;123;4;Jaspet;x
526;10;123;4;Cespar;x
527;20;123;4;Herne;x
528;30;123;4;Topal;x
529;40;123;4;Veldspar;x
530;101;0;16;Wasten Coridale;x
531;101;10;16;Belport Run;x
532;101;20;16;Varro;x
533;101;30;16;Vos;x
534;101;40;16;Harrow Well;x
535;101;50;16;Carmar;x
536;101;60;16;Lochfort;x
537;101;70;16;Blackwater;x
538;101;80;16;Coldmoor;x
539;101;90;16;Dinab;x
540;101;100;16;Gondar;x
541;101;110;16;Ubuntu;x
542;101;120;16;Sahul;x
543;101;130;16;Hanar;x
544;101;140;16;Grimrock;x
545;101;150;16;Orlais;x
546;101;160;16;Aubigny;x
547;101;170;16;Rourken;x
548;101;180;16;Bloodhorn;x
549;101;190;16;Lagos;x
550;101;200;16;Pellame;x
551;101;210;16;Bogwraith;x
552;101;220;16;Marr;x
553;101;230;16;Shadowmarsh;x
554;101;240;16;Garthim;x
555;101;250;16;Marshwell;x
556;101;255;16;Middlemarch;x
557;101;245;16;Cambrian;x
558;101;235;16;Tulune;x
559;0;84;93;Rhanano;x
560;10;84;93;Ayasofya;x
561;20;84;93;Roukad;x
562;30;84;93;Wadathe;x
563;40;84;93;Matama;x
564;50;84;93;Aidhab;x
565;60;84;93;Hare's Cross;x
566;70;84;93;Haran;x
567;80;84;93;Agadem;x
568;90;84;93;Rimwatch;x
569;100;84;93;Garlas;x
570;110;84;93;Trumbe;x
571;120;84;93;Jodestone;x
572;130;84;93;Corinawl;x
573;140;84;93;Varus;x
574;150;84;93;Brittlerock;x
575;160;84;93;Dasekmoor;x
576;170;84;93;Miscarcand;x
577;180;84;93;Varondo;x
578;190;84;93;Cloudtop;x
579;200;84;93;Hrotanda;x
580;210;84;93;Shadow's Rest;x
581;220;84;93;Pale Pass;x
582;230;84;93;Underpall;x
583;240;84;93;Moranda;x
584;250;84;93;Glademist;x
585;255;84;93;Yellowtick;x
586;245;84;93;Nornalhorst;x
587;235;84;93;Silorn;x
588;225;84;93;Grayrock;x
589;215;84;93;Virtue;x
590;205;84;93;Wenyandawik;x
591;195;84;93;Pell's Gate;x
592;185;84;93;Eastwatch;x
593;175;84;93;Sercen;x
594;165;84;93;Vilverin;x
595;155;84;93;Cropsford;x
596;145;84;93;Culotte;x
597;135;84;93;Nagastani;x
598;125;84;93;Applewatch;x
599;115;84;93;Dragonclaw;x
600;105;84;93;Anga;x
601;95;84;93;Redruby;x
602;85;84;93;Sedor;x
603;75;84;93;Fanacas;x
604;65;84;93;Arrius;x
605;55;84;93;Belda;x
606;45;84;93;Aldos;x
607;35;84;93;Kemen;x
608;25;84;93;Vahtacen;x
609;15;84;93;Drakelowe;x
610;5;84;93;Hame;x
611;0;82;91;Bramblepoint;x
612;253;84;93;Dunval;x
613;243;84;93;Maberumi;x
614;233;84;93;Mackamentain;x
615;223;84;93;Malada;x
616;213;84;93;Cuptor;x
617;203;84;93;Wendelbek;x
618;193;84;93;Bloodrun;x
619;183;84;93;Doublecross;x
620;173;84;93;Blankenmarch;x
621;163;84;93;Morahame;x
622;153;84;93;Goldthroat;x
623;143;84;93;Darkfathom;x
624;133;84;93;Tagon;x
625;123;84;93;Rhasakan;x
626;113;84;93;Taleskan;x
627;103;84;93;Kevalla;x
628;93;84;93;Teth;x
629;83;84;93;Lagon;x
630;73;84;93;Kanesh;x
631;63;84;93;Sora;x
632;53;84;93;Yul;x
633;43;84;93;Samara;x
634;33;84;93;Vathi;x
635;23;84;93;Siuol Yelir;x
636;13;84;93;Ravan;x
637;56;0;56;Syut;x
638;56;10;56;Baut;x
639;56;20;56;Nalonga;x
640;56;30;56;Helkune;x
641;56;40;56;Torhold;x
642;56;50;56;Aneirvale;x
643;56;60;56;Darkhor;x
644;56;70;56;Toprest;x
645;56;80;56;Duncinthe;x
646;56;90;56;Memrove;x
647;56;100;56;Tornthe;x
648;56;110;56;Alcrest;x
649;56;120;56;Meirrest;x
650;56;130;56;Sencrest;x
651;56;140;56;Coren;x
652;56;150;56;Masdorn;x
653;56;160;56;Darhold;x
654;56;170;56;Margen;x
655;56;180;56;Alkarth;x
656;56;190;56;Greenpoint;x
657;56;200;56;Havisti;x
658;56;210;56;Hearthgrove;x
659;56;220;56;Balinesti;x
660;56;230;56;Gnarledroot;x
661;56;240;56;Heartbush;x
662;56;250;56;Eldenbush;x
663;56;255;56;Woodroot;x
664;56;245;56;Glenguard;x
665;56;235;56;Skywatch;x
666;56;225;56;Silverguard;x
667;56;215;56;Seawasten;x
668;56;205;56;Marnandril;x
669;56;195;56;Karnwood;x
670;56;185;56;Silvernor;x
671;56;175;56;Marnwatch;x
672;56;165;56;Sunwood;x
673;56;155;56;Sunarnor;x
674;56;145;56;Duskwood;x
675;56;135;56;Sunnor;x
676;56;125;56;Karnview;x
677;56;115;56;Lillarnor;x
678;56;105;56;Glenandril;x
679;56;95;56;Oraxia;x
680;56;85;56;Aldera;x
681;56;75;56;Almhold;x
682;56;65;56;Adurra;x
683;56;55;56;Darissa;x
684;56;45;56;Ornhold;x
685;56;35;56;Nardurin;x
686;56;25;56;Padani;x
687;56;15;56;Prathan;x
688;56;5;56;Narhold;x
689;123;0;255;Salan;x
690;123;10;255;Bosica;x
691;123;20;255;Tel Ansi;x
692;123;30;255;Darmora;x
693;123;40;255;Ordurin;x
694;123;50;255;Narthan;x
695;123;60;255;Lleris;x
696;123;70;255;Salmaxia;x
697;123;80;255;Uveria;x
698;123;90;255;Orcrom;x
699;123;100;255;Narmora;x
700;123;110;255;Dardurin;x
701;123;120;255;Tel Sarthis;x
702;123;130;255;Almrothan;x
703;123;140;255;Falkhammer;x
704;123;150;255;Bleakwall;x
705;123;160;255;Ustunpass;x
706;123;170;255;Shearstone;x
707;123;180;255;Valtheim;x
708;123;190;255;Shorflow;x
709;123;200;255;Coldwinter;x
710;123;210;255;Ravenstead;x
711;123;220;255;Valtgard;x
712;123;230;255;Snowgrad;x
713;123;240;255;Bannerwatch;x
714;123;250;255;Morvunhall;x
715;123;255;255;Coldwind;x
716;123;245;255;Coldstone;x
717;123;235;255;Whiteflow;x
718;123;225;255;Ustunhall;x
719;123;215;255;Ravenhall;x
720;123;205;255;Westmarch;x
721;123;195;255;Skyhammer;x
722;123;185;255;Hraggen;x
723;123;175;255;Scarhammer;x
724;123;165;255;Ironheim;x
725;123;155;255;Morgate;x
726;123;145;255;Ironpoint;x
727;123;135;255;Skymarch;x
728;123;125;255;Dunmarch;x
729;123;115;255;Greymarch;x
730;123;105;255;Whitewatch;x
731;123;95;255;Yneslea;x
732;123;85;255;Anequey;x
733;123;75;255;Ilaquey;x
734;123;65;255;Itil;x
735;123;55;255;Esroniet;x
736;123;45;255;Yntao;x
737;123;35;255;Adeniet;x
738;123;25;255;Lor;x
739;123;15;255;Kidal;x
740;123;5;255;Rama;x
741;81;81;0;Ang Het;x 
742;81;81;10;Tang On;x
743;81;81;20;Than Mo;x
744;81;81;30;Prachata;x
745;81;81;40;Thayala;x
746;81;81;50;Mae Taphut;x
747;81;81;60;Langkhon;x
748;81;81;70;Latchanaburi;x
749;81;81;80;Ang Po;x
750;81;81;90;Ratchata;x
751;81;81;100;Ratchasima;x
752;81;81;110;Latthaburi;x
753;81;81;120;Tang Yala;x
754;81;81;130;Ratcharang;x
755;81;81;140;Panyat;x
756;81;81;150;Om Kok;x
757;81;81;160;Dunggoon;x
758;81;81;170;Kankham;x
759;81;81;180;Tongtou;x
760;81;81;190;Chungzi;x
761;81;81;200;Shiung;x
762;81;81;210;Giruma;x
763;81;81;220;Ciman;x
764;81;81;230;Lautah;x
765;81;81;240;Ho Fa;x
766;81;81;250;Chuenbo;x
767;81;81;255;Hianwo;x
768;81;81;245;Nod;x
769;81;81;235;Homshing;x
770;81;81;225;Wu Li;x
771;81;81;215;Shuobi;x
772;81;81;205;Tsuishan;x
773;81;81;195;Hengyuan;x
774;81;81;185;Qao;x
775;81;81;175;Kamipung;x
776;81;81;165;Indratra;x
777;81;81;155;Manjung;x
778;81;81;145;Pu Mai;x
779;81;81;135;Na Mai;x
780;81;81;125;Ho Bei;x
781;81;81;115;Mae San;x
782;81;81;105;Meruma;x
783;81;81;95;Rammak;x
784;81;81;85;Pekman;x
785;81;81;75;Siwesi;x
786;81;81;65;Sarcal;x
787;81;81;55;Amalok;x
788;81;81;45;Viplam;x
789;81;81;35;Batar;x
790;81;81;25;Giru Torat;x
791;81;81;15;Tisat;x
792;81;81;5;Cirat;x
793;4;0;50;Woshojo;x
794;4;10;50;Totoshi;x
795;4;20;50;Chanubi;x
796;4;30;50;Gikiro;x
797;4;40;50;Ijato;x
798;4;50;50;Puryosu;x
799;4;60;50;Surakota;x
800;4;70;50;Nuak;x
801;4;80;50;Vatak;x
802;4;90;50;Gorling;x
803;4;100;50;Jatan;x
804;4;110;50;Conak;x
805;4;120;50;Karitu;x
806;4;130;50;Cotu;x
807;4;140;50;Badang;x
808;4;150;50;Mekaya;x
809;4;160;50;Darlam;x
810;4;170;50;Shingliu;x
811;4;180;50;Gitu;x
812;4;190;50;Henghua;x
813;4;200;50;Ho Wan;x
814;4;210;50;Aya;x
815;4;220;50;Changzi;x
816;4;230;50;Xia Zi;x
817;4;240;50;Ramling;x
818;4;250;50;Volatra;x
819;4;255;50;Beku;x
820;4;245;50;Xiatung;x
821;4;235;50;Yichung;x
822;4;225;50;Tadesa;x
823;4;215;50;Taku;x
824;4;205;50;Suratra;x
825;4;195;50;Amalam;x
826;4;185;50;Vaspung;x
827;4;175;50;Gili;x
828;4;165;50;Copang;x 
829;4;155;50;Arat;x
830;4;145;50;Tasikku;x
831;4;135;50;Herpung;x
832;4;125;50;Kariwesi;x
833;4;115;50;Towesi;x
834;4;105;50;Cidang;x
835;4;95;50;Carakal;x
836;4;85;50;Papraya;x
837;4;75;50;Focsat;x
838;4;65;50;Tilang;x
839;4;55;50;Radet;x
840;4;45;50;Meralang;x
841;4;35;50;Darang;x
842;4;25;50;Beishan;x
843;4;15;50;Nanshan;x
844;4;5;50;Bisat;x
845;109;50;0;Shingen;x
846;109;50;10;Shien;x
847;109;50;20;Nanchung;x
848;109;50;30;Soggi;x
849;109;50;40;Asp;x
850;109;50;50;Hawlok;x
851;109;50;60;Sivera;x
852;109;50;70;Ying Zi;x
853;109;50;80;Wanchu;x
854;109;50;90;Chuenho;x
855;109;50;100;Amadesa;x
856;109;50;110;Zekota;x
857;109;50;120;Vataek;x
858;109;50;130;Wu Jian;x
859;109;50;140;Saibao;x
860;109;50;150;Binaiki;x
861;109;50;160;Aikaya;x
862;109;50;170;Amakal;x
863;109;50;180;Sumyaw;x
864;109;50;190;Lautsat;x
865;109;50;200;Tilui;x
866;109;50;210;Vaswa;x
867;109;50;220;Gilam;x
868;109;50;230;Bukduk;x
869;109;50;240;Aikeni;x
870;109;50;250;Darjar;x
871;109;50;255;Sigpuan;x
872;109;50;245;Sabatra;x
873;109;50;235;Pedraha;x
874;109;50;225;Vangra;x
875;109;50;215;Ynrah;x
876;109;50;205;Kediskele;x
877;109;50;195;Sisao;x
878;109;50;185;Samorfez;x
879;109;50;175;Hua Chang;x
