#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;x
#CULTURE GROUPS;;;;;;;x
culture_sindar_desc;The Grey-Elf culture formed in the 3rd age from those Teleri who reached Beleriand, but missed the boat to Aman. Under the leadership of Elu Thingol and Melian, they formed a thriving civilization before the Noldor came back, and thier culture persists among many elves until the 3rd age and later.;;;;;;x
culture_falathrim;Falathrim;Falathrim;Falathrim;;Falathrim;;x
culture_falathrim_desc;The 'Shore-Elves', who since the First Age have been shipbuilders and sailors, under the guidance of Círdan the Shipwright. They are often considered a subset of the Sindar.;;;;;;
# Elven Wood-Elf Cultures;;;;;;;x
culture_nandor;Nandor;Nandor;;;Nandor;;x
culture_nandor_desc;The original Wood-Elves, the center of their culture was Lindórinand, which later became Lórien. Their culture eventually shifted to Silvan, but this took quite some time. Some, like Nimrodel, stayed Nandor well into the Third Age.;;;;;;x
culture_laegrim;Laegrim;Laegrim;;;Laegrim;;x
culture_laegrim_desc;The Green-Elves of Ossiriand were a Nandor offshoot who migrated into Beleriand during the First Age.;;;;;;x
culture_silvan_desc;The Wood Elves of old came under the influence of Sindar culture, to the point where by the end of the 3rd age, they were all speaking Sindarin. This 'new' wood-elf culture is called Silvan.;;;;;;x
culture_sirannar;Sirannar;Sirannar;Sirannar;;Sirannar;;x
culture_sirannar_desc;The Sirannar are elves related to the Nandor and the Green-Elves of Ossiriand, but whose homeland lay in Southwestern Arthedain, in Eriador. They persisted well into the second age, and provided many migrants to Lindon.;;;;;;x
# Elven Avari Cultures;;;;;;;x
culture_avari;Avari;Avari;;;Avari;;x
culture_avari;Elves whose ancestors refused to journey to Aman. Likely a primitive lot.;;;;;;x
# Ent-Huorn Cultures;;;;;;;x
culture_entish;Ent;Ent;;;Ent;;x
