#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jotunn;Jotunn;Jotunn;Jotunn;;Jotunn;;;;;;;;;x
philosopher_stone_desc;This character has found the legendary Philosopher's Stone. Not only does the substance facilitate transmutation, but it extends the life of its holder indefinitely.;The Philosopher's Stone;The Philosopher's Stone;;The Philosopher's Stone;;;;;;;;;x
monster_hunter;Monster Hunter;Monster Hunter;Monster Hunter;;Monster Hunter;;;;;;;;;x
monster_hunter_desc;This character has dedicated his life to the eradication of all monstrous creatures.;Monster Hunter;Monster Hunter;;Monster Hunter;;;;;;;;;x
novice_mage;Novice Mage;Zombie;Zombie;;Zombie;;;;;;;;;x
novice_mage_desc;The Novice Mage has dabbled in the arcane, but never learned much.;Zombie;Zombie;;Zombie;;;;;;;;;x
eldritch_scholar;Eldritch Scholar;Zombie;Zombie;;Zombie;;;;;;;;;x
eldritch_scholar_desc;The Eldritch Scholar is well-versed in the wizarding arts, and can perform a range of spells.;Zombie;Zombie;;Zombie;;;;;;;;;x
eldritch_scholar_death;of magical decay.;Zombie;Zombie;;Zombie;;;;;;;;;x
veteran_wizard;Veteran Wizard;Zombie;Zombie;;Zombie;;;;;;;;;x
veteran_wizard_desc;Few powers elude the Veteran Wizard, but their exercise takes a toll on the body.;Zombie;Zombie;;Zombie;;;;;;;;;x
veteran_wizard_death;of magical decay.;Zombie;Zombie;;Zombie;;;;;;;;;x
arcane_master;Arcane Master;Zombie;Zombie;;Zombie;;;;;;;;;x
arcane_master_desc;The Arcane Master is a wizard of unparralleled power. This character can perform miraculous feats, though at great cost.;Zombie;Zombie;;Zombie;;;;;;;;;x
arcane_master_death;of magical decay.;Zombie;Zombie;;Zombie;;;;;;;;;x
giant;Giant;Giant;Giant;;Giant;;;;;;;;;x
giant_desc;Twice over the height of men and tougher as well, the northern Giants are a fearsome sight in combat, though they lack the wisdom of common men.;Giant;Giant;;Giant;;;;;;;;;x
satanist;Luciferian;Satanist;Satanist;;Satanist;;;;;;;;;x
satanist_DESC;Sharing much of their theology with Catholics, but worshipping the fallen archangel Lucifer instead of The Holy Trinity, Satanists are despised throughout the Christian world.;Satanism;Satanism;;Satanism;;;;;;;;;x
satanist_DESC_2;Can have concubines.;satanist;satanist;;satanist;;;;;;;;;x
voodoo;Voodoo;Voodoo;Voodoo;;Voodoo;;;;;;;;;x
voodoo_DESC;A very loosely organized belief system centered around spirits and magic, the dark rituals of Voodoo are largely feared throughout the world.;Voodoo;Voodoo;;Voodoo;;;;;;;;;x
kemetic_pagan;Kemetic;Satanist;Satanist;;Satanist;;;;;;;;;x
kemetic_pagan_DESC;The ancient Egyptians worshipped a pantheon of gods including Ra, Osiris, and Anubis. While their religion was loosely defined and not highly uniform, it remained dominant in Egypt for over 3,000 years before the common era.;Satanism;Satanism;;Satanism;;;;;;;;;x
kemetic_pagan_reformed;Kemetic;Satanist;Satanist;;Satanist;;;;;;;;;x
kemetic_pagan_reformed_DESC;The ancient Egyptians worshipped a pantheon of gods including Ra, Osiris, and Anubis. While their religion was loosely defined and not highly uniform, it remained dominant in Egypt for over 3,000 years before the common era.;Satanism;Satanism;;Satanism;;;;;;;;;x
job_spiritual_satanist;Priest;satanist;satanist;;satanist;;;;;;;;;x
job_spiritual_kemetic_pagan;Priest;satanist;satanist;;satanist;;;;;;;;;x
job_spiritual_kemetic_pagan_reformed;Priest;satanist;satanist;;satanist;;;;;;;;;x
job_spiritual_jotnar;Godi;satanist;satanist;;satanist;;;;;;;;;x
job_spiritual_jotnar_reformed;Godi;satanist;satanist;;satanist;;;;;;;;;x
jotnar;Jotnar;Jotnar;Jotnar;;Jotnar;;;;;;;;;;x
jotnar_DESC;The Jotnar faith shares almost all mythology with that of Norse pagans. Both groups believe in several distinct otherworldly realms, among them Asgard and Jotunnheim. While the Norse worship Odin and Thor, the lords of Asgard, the Jotnar worship the giants of Jotunnheim, among them Loki, Jormundgandr, and Fenrir.;Jotnar;Jotnar;;Jotnar;;;;;;;;;;x
jotnar_reformed;Jotnar;Jotnar;Jotnar;;Jotnar;;;;;;;;;;x
jotnar_reformed_DESC;The Jotnar faith shares almost all mythology with that of Norse pagans. Both groups believe in several distinct otherworldly realms, among them Asgard and Jotunnheim. While the Norse worship Odin and Thor, the lords of Asgard, the Jotnar worship the giants of Jotunnheim, among them Loki, Jormundgandr, and Fenrir.;Jotnar;Jotnar;;Jotnar;;;;;;;;;;x
hellenic_pagan;Hellenic;Hellénisme;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_DESC;The Hellenistic religion is polytheistic, with a pantheon of twelve major gods including Zeus, Aries, Athena, and Poseidon. It originated in ancient Greece and with the conquests of Alexander the Great and the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom.;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme. Dans le jeu : \n§Y*§! Peut déclarer des guerres d'assujettissement contre les autre païens\n§Y*§! Les souverains ne peuvent pas déclarer de guerres saintes\n§Y*§! Capacité de conversion plus faible et vulnérable aux tentatives de conversion par les missionnaires non païens;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchen Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des römischen Reiches wurde sie zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums. Besondere Eigenschaften im Spiel: \n§Y*§! Kann Unterwerfungskriege gegen alle anderen Heiden führen\n§Y*§! Anführer können keinen heiligen Krieg erklären\n§Y*§! Unterlegen beim Bekehren und anfällig für nicht-heidnische Missionare;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo. Características definitorias en el juego: \n§Y*§! Puede declarar guerras de subyugación contra todos los demás paganos\n§Y*§! Los gobernantes no pueden declarar Guerras Santas\n§Y*§! Tasa inferior de conversión y vulnerable a los misioneros de religiones no paganas.;;;;;;;;;x
GOD_JUPITER;Zeus;Jupiter;Jupiter;;Júpiter;;;;;;;;;x
GOD_MERCURY;Hermes;Mercure;Merkur;;Mercurio;;;;;;;;;x
GOD_MARS;Aries;Mars;Mars;;Marte;;;;;;;;;x
GOD_VENUS;Aphrodite;Venus;Venus;;Venus;;;;;;;;;x
GOD_MINERVA;Athena;Minerve;Minerva;;Minerva;;;;;;;;;x
job_spiritual_hellenic_pagan;Diviner;Devin;Augur;;Augur;;;;;;;;;x
temple_baron_hellenic_pagan;Priest;Priest;Priest;;Priest;;;;;;;;;x
druidic;Brythonic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic_reformed;Druidic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic_DESC;Brythonic paganism is one of the last surviving branch of the ancient druidic belief systems. It features a pantheon of gods and a world full of spirits in which the children of Don rule the Skies, the Earth and the Otherworld. The main gods are Don and Lud, parents of the gods, Beli, the god of Healing, the Great Queen Rhiannon, the Horned god, called Amanaeth, Manawydan, the Sea God and Lleu of the Skillful Hand.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
druidic_reformed_DESC;The reformed brythonic faith has a standardized liturgy etched on the many raised stones on the British Isles, telling the story of Don and her children. It is led by the circle of the Druids with the Arch-Druid as the religious leader of the faithful.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
draconic_pagan;Draconic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
draconic_pagan_DESC;The Draconic faith is similar to many forms of European paganism and shares many legends and myths with them. However, unlike the other faiths which worship the great heroes of men in these tales, it venerates the dragons. Legendary serpents such as Nidhogg and Jormungandr are revered ad deities, and fire is viewed as a sacred healer and cleanser of evil.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
draconic_pagan_reformed;Draconic;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
draconic_pagan_reformed_DESC;The reformed draconic faith has standardized texts and rituals, written by dragons which had previously not concerned themselves with books to spread a zealous faith to a growing population and perhaps even gain some human followers. Its primary god is Jormungandr, the world-serpent, said to live in the sea and encircle the entire world.;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_BELI;Beli Mawr;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_BELI_irish;Angus mac Og;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_AMANAETH;Amanaeth;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_AMANAETH_irish;The Horned God;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_MANAWYDAN;Manawydan;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_MANAWYDAN_irish;Manannan mac Lir;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_LLEU;Lleu;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_LLEU_irish;Lugh;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_RHIANNON;Rhiannon;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_RHIANNON_irish;Macha;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_EARTH;Don;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_EARTH_irish;Dana;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
GOD_SKY;Lud;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
#GOD_SKY_irish;Nuada;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
THE_STONES;The Sacred Stones;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
THE_BALLADS;The Ballads;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
d_druidic_reformed;The Circle of Druids;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
ARCH_DRUID;Arch Druid;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
ARCH_DRUID_FOA;Eldest of the Druids;FRENCH;GERMAN;SPANISH;;;;;;;;;;x
job_spiritual_druidic;Seer;Voyant;Seher;;Vidente;;;;;;;;;x
turn_vampire;Offer to Turn;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
turn_vampire_desc;Offer [Root.GetTitledFirstName] the dark gift of vampirism. This offer may not be received well by God's faithful, but your prisoners will be unable to refuse.;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
turn_werewolf;Offer to Turn;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
turn_werewolf_desc;Offer [Root.GetTitledFirstName] with the blood of the wolf. This offer may not be received well by God's faithful, but your prisoners will be unable to refuse.;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
kill_prisoner_vampire;Drink Blood;Drink [Root.GetTitledFirstName]'s blood;Drink [Root.GetTitledFirstName]'s blood;;Drink [Root.GetTitledFirstName]'s blood;;;;;;;;;x
kill_prisoner_vampire_desc;Drain [Root.GetTitledFirstName] of all life.;Drink [Root.GetTitledFirstName]'s blood;Drink [Root.GetTitledFirstName]'s blood;;Drink [Root.GetTitledFirstName]'s blood;;;;;;;;;x
vampire_convert_to_satanist;Convert to Luciferian;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
vampire_convert_to_satanist_desc;Heed Lucifer's call and join the fold of your kind's true faith.;Turn Prisoner;Turn Prisoner;;Turn Prisoner;;;;;;;;;x
brew_love_potion;Brew Love Potion;Brew Love Potion;Brew Love Potion;;Brew Love Potion;;;;;;;;;x
brew_love_potion_desc;Brew a potion for your spouse with which to spice your marriage.;Brew Love Potion;Brew Love Potion;;Brew Love Potion;;;;;;;;;x
attempt_alchemy;Attempt Alchemy;Attempt Alchemy;Attempt Alchemy;;Attempt Alchemy;;;;;;;;;x
attempt_alchemy_desc;Attempt to craft gold from other materials.;Attempt Alchemy;Attempt Alchemy;;Attempt Alchemy;;;;;;;;;x
summon_ethereal_army;Summon Ethereal Army;Summon Ethereal Army;Summon Ethereal Army;;Summon Ethereal Army;;;;;;;;;x
summon_ethereal_army_desc;Summon an army of ethereal beings to help you win this war.;Summon Ethereal Army;Summon Ethereal Army;;Summon Ethereal Army;;;;;;;;;x
cast_aura;Cast Aura;Cast Aura;Cast Aura;;Cast Aura;;;;;;;;;x
cast_aura_desc;Cast an aura around yourself to make others more agreeable.;Cast Aura;Cast Aura;;Cast Aura;;;;;;;;;x
known_monster;Suspected Monster;Known Monster;Known Monster;;Known Monster;;;;;;;;;x
known_monster_desc;This character has taken actions that make the public begin to suspect that true and monstrous evil is afoot...;Known Monster;Known Monster;;Known Monster;;;;;;;;;x
expel_satanists;Expel Satanists;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
expel_satanists_desc;Purge all satan-worshippers from the realm.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
welcome_satanists;Welcome Satanists;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
welcome_satanists_desc;Welcome the respectible followers of Lucifer back into our realm.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
scorch_settlement;Scorch Land;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
scorch_settlement_desc;Set this land ablaze with dragonfire.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
scorched_land;Scorched Land;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
scorched_land_desc;Dragons have burned this land.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
recently_scorched_land;Recently Scorched Land;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
recently_scorched_land_desc;Dragons have burned this land recently.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
recently_scorched_land_not_owner;Recently Scorched Land;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
recently_scorched_land_not_owner_desc;Dragons have burned this land recently.;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
SCORCH_DESTROY_BUILDINGS;MAY DESTROY HOLDINGS;Convert Populace;Convert Populace;;Convert Populace;;;;;;;;;x
death_werewolf;from a werewolf attack.;Zombie;Zombie;;Zombie;;;;;;;;;x
coverup_successful;the coverup being successful.;the coverup being successful.;the coverup being successful.;;the coverup being successful.;;;;;;;;;x
preparations_begin;Preparations begin.;Preparations begin.;Preparations begin.;;Preparations begin.;;;;;;;;;x
expedition_sent;An expedition is sent.;An expedition is sent.;An expedition is sent.;;An expedition is sent.;;;;;;;;;x
expedition_sent_2;More men are sent.;An expedition is sent.;An expedition is sent.;;An expedition is sent.;;;;;;;;;x
spell_cast;The spell is cast.;The spell is cast.;The spell is cast.;;The spell is cast.;;;;;;;;;x
satanists_are_expelled;Luciferians are expelled.;Luciferians are expelled;Luciferians are expelled;;Luciferians are expelled;;;;;;;;;x
satanists_are_welcome;Luciferians are welcomed.;Luciferians are welcomed.;Luciferians are welcomed.;;Luciferians are welcomed.;;;;;;;;;x
hellenic_quest;Go on a Great Quest;Go on a great quest.;Go on a great quest.;;Go on a great quest.;;;;;;;;;x
hellenic_quest_desc;Go on a great quest, sure to be the grandest of your life.;Go on a great quest.;Go on a great quest.;;Go on a great quest.;;;;;;;;;x
vampire_convert_culture;Found Vampiric Culture;Found Vampiric Culture;Found Vampiric Culture;;Found Vampiric Culture;;;;;;;;;x
vampire_convert_culture_desc;You have established an entire kingdom for your kin - it may finally be safe to live freely and openly among your people.;Found Vampiric Culture;Found Vampiric Culture;;Found Vampiric Culture;;;;;;;;;x
werewolf_convert_culture;Found Lycan Culture;Found Lycan Culture;Found Lycan Culture;;Found Lycan Culture;;;;;;;;;x
werewolf_convert_culture_desc;You have established an entire kingdom for your kin - it may finally be safe to live freely and openly among your people.;Found Vampiric Culture;Found Vampiric Culture;;Found Vampiric Culture;;;;;;;;;x
d_satanist;The Luciferian Church;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
d_satanist_adj;Luciferian;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
d_jotnar_reformed;The Jotnar Fylkirate;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
d_jotnar_reformed_adj;Jotnar;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
d_draconic_pagan_reformed;The Sapphire Flame;The High Priesthood;The High Priesthood;;The High Priesthood;;;;;;;;;x
d_draconic_pagan_reformed_adj;Draconic;Holy;Holy;;Holy;;;;;;;;;x
d_hellenic_pagan;The High Priesthood;The High Priesthood;The High Priesthood;;The High Priesthood;;;;;;;;;x
d_hellenic_pagan_adj;Hellenic;Holy;Holy;;Holy;;;;;;;;;x
d_helsing;The Knights of Helsing;Ridderorde van Helsing;Ridderorde van Helsing;;Ridderorde van Helsing;;;;;;;;;;x
d_helsing_adj;Helsing;Ridderorde van Helsing;Ridderorde van Helsing;;Ridderorde van Helsing;;;;;;;;;;x
e_zombie;The Undead Horde;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
e_zombie_adj;Zombie;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
e_vampire;Nocturne Imperium;Vampyrian Empire;Vampyrian Empire;;Vampyrian Empire;;;;;;;;;x
e_vampire_adj;Vampire;Vampyrian Empire;Vampyrian Empire;;Vampyrian Empire;;;;;;;;;x
e_werewolf;Lycan Empire;Lycan Empire;Lycan Empire;;Lycan Empire;;;;;;;;;x
e_werewolf_adj;Lycan;Lycan;Lycan;;Lycan;;;;;;;;;x
e_djinn;Djinni Caliphate;Djinni Legion;Djinni Legion;;Djinni Legion;;;;;;;;;x
e_djinn_adj;Djinni;Djinni Legion;Djinni Legion;;Djinni Legion;;;;;;;;;x
d_solomon_legion;Solomon's Legion;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
d_solomon_legion_adj;Legionary;High Priesthood;High Priesthood;;High Priesthood;;;;;;;;;x
k_avalon;Avalon;Avalon;Avalon;;Avalon;;;;;;;;;x
k_avalon_adj;Avalonian;Avalon;Avalon;;Avalon;;;;;;;;;x
e_olympus;Olympus;Olympus;Olympus;;Olympus;;;;;;;;;x
e_olympus_adj;Olympian;Olympus;Olympus;;Olympus;;;;;;;;;x
e_asgard;Asgard;Olympus;Olympus;;Olympus;;;;;;;;;x
e_asgard_adj;Asgardian;Olympus;Olympus;;Olympus;;;;;;;;;x
other_group;Other Religions;Other Religions;Other Religions;;Other Religions;;;;;;;;;x
zombie_plague;The Dread Plague;The Dread Plague;The Dread Plague;;The Dread Plague;;;;;;;;;x
zombie_plague_info;This swarm of godless undead is fatal without fail. Every man bitten becomes another beast and joins the horde.;The Dread Plague;The Dread Plague;;The Dread Plague;;;;;;;;;x
zombie_law;Zombie Law;Zombie Law;Zombie Law;;Zombie Law;;;;;;;;;x
nick_the_impaler;the Impaler;the Impaler;the Impaler;;the Impaler;;;;;;;;;x
nick_ozymandias;Ozymandias;Ozymandias;Ozymandias;;Ozymandias;;;;;;;;;x
egyptian;Old Egyptian;Old Egyptian;Old Egyptian;;Old Egyptian;;;;;;;;;x
dragon_culture_group;Dragons;Dragons;Dragons;;Dragons;;;;;;;;;x
draconic;Draconic;Dragon;Dragon;;Dragon;;;;;;;;;x
monster_culture_group;Monsters;Monsters;Monsters;;Monsters;;;;;;;;;x
vampire_culture;Vampiric;Vampiric;Vampiric;;Vampiric;;;;;;;;;x
werewolf_culture;Lycan;Lycan;Lycan;;Lycan;;;;;;;;;x
king_egyptian;Pharaoh;Pharaoh;Pharaoh;;Pharaoh;;;;;;;;;x
giant_culture_modifier;Giant Huskarls;Giant Huskarls;Giant Huskarls;;Giant Huskarls;;;;;;;;;x
djinni_culture_modifer;Djinni Firethrowers;Djinni Firethrowers;Djinni Firethrowers;;Djinni Firethrowers;;;;;;;;;x
dragon_culture_modifier;Dragon Mounts;Dragon Mounts;Dragon Mounts;;Dragon Mounts;;;;;;;;;x
e_vampire_modifier;Vampires;Deathdealers;Deathdealers;;Deathdealers;;;;;;;;;x
e_werewolf_modifier;Werewolves;Werewolves;Werewolves;Werewolves;;;;;;;;;x
e_djinni_modifer;Djinni Firethrowers;Djinni Firethrowers;Djinni Firethrowers;;Djinni Firethrowers;;;;;;;;;x
djinni_culture_modifer;Djinni Firethrowers;Djinni Firethrowers;Djinni Firethrowers;;Djinni Firethrowers;;;;;;;;;x
e_zombie_modifier;Zombies;Zombies;Zombies;;Zombies;;;;;;;;;x
zombie_culture_modifier;Dead Lands;Zombies;Zombies;;Zombies;;;;;;;;;x
zombie_invasion_desc;The horde attacks another realm.;zombie;zombie;;zombie;;;;;;;;;x
challenged_emperor;Challenged Emperor;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
challenged_emperor_desc;Has recently issued a challenge for dominance of the empire and cannot do so again for 5 years.;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
cast_spell;Cast Spell;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
cast_spell_desc;Has recently cast a spell and must wait before performing any more magic.;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
has_quested;Has Quested;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
has_quested_desc;This character has been on a grand quest, and cannot do so again.;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
golden_fleece;Golden Fleece;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
golden_fleece_desc;This character bears the legendary golden fleece, granting a more illustrious rule.;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
medusa_head;Medusa's Head;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
medusa_head_desc;This character bears the head of the legendary gorgon Medusa, a fearsome and deadly sight on the fields of battle.;Cast Spell;Cast Spell;;Cast Spell;;;;;;;;;x
minor_aura;Minor Aura;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
minor_aura_desc;This character exudes a friendly aura.;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
persuasive_aura;Persuasive Aura;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
persuasive_aura_desc;This character exudes a persuasive aura.;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
powerful_aura;Powerful Aura;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
powerful_aura_desc;This character exudes a powerfully persuasive aura.;Minor Aura;Minor Aura;;Minor Aura;;;;;;;;;x
expelled_satanists;Expelled Luciferians;Expelled Satanists;Expelled Satanists;;Expelled Satanists;;;;;;;;;x
expelled_satanists_desc;This character has expelled all Luciferians from the realm.;Expelled Satanists;Expelled Satanists;;Expelled Satanists;;;;;;;;;x
werewolf_challenge;Challenge the Emperor;Challenge the Emperor;Challenge the Emperor;;Challenge the Emperor;;;;;;;;;x
werewolf_challenge_desc;Stake your life on a battle to rule your kin.;Challenge the Emperor;Challenge the Emperor;;Challenge the Emperor;;;;;;;;;x
owl_familiar;Owl Familiar;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
owl_familiar_desc;This character has summoned a magical owl as a companion.;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
rat_familiar;Rat Familiar;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
rat_familiar_desc;This character has summoned a magical rat as a companion.;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
crow_familiar;Crow Familiar;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
crow_familiar_desc;This character has summoned a magical crow as a companion.;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
wolf_familiar;Wolf Familiar;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
wolf_familiar_desc;This character has summoned a magical wolf as a companion.;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
dove_familiar;Dove Familiar;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
dove_familiar_desc;This character has summoned a magical dove as a companion.;Owl Familiar;Owl Familiar;;Owl Familiar;;;;;;;;;x
death_oxen;died trying to tame oxen;died trying to tame oxen;died trying to tame oxen;;died trying to tame oxen;;;;;;;;;x
